hero_id,Pick Count,Ban Count,Pick Rate,Ban Rate,Pick Rank,Ban Rank,Win Rate,roles
28,351,267,4.12,3.14,87,105,47.0,"['Carry', 'Durable', 'Initiator', 'Disabler', 'Escape']"
37,350,913,4.11,10.72,88,52,47.0,"['Support', 'Initiator', 'Disabler']"
40,339,780,3.98,9.16,89,58,50.0,"['Support', 'Nuker', 'Initiator', 'Pusher', 'Disabler']"
8,333,298,3.91,3.5,90,98,45.0,"['Carry', 'Pusher', 'Escape']"
95,331,700,3.89,8.22,91,62,48.0,"['Carry', 'Pusher', 'Disabler', 'Durable']"
6,330,203,3.88,2.38,92,111,48.0,"['Carry', 'Disabler', 'Pusher']"
112,323,2534,3.79,29.77,93,7,55.0,"['Support', 'Disabler', 'Nuker']"
90,323,317,3.79,3.72,93,96,52.0,"['Support', 'Nuker', 'Disabler']"
59,321,592,3.77,6.95,95,73,47.0,"['Carry', 'Durable', 'Initiator']"
76,312,778,3.66,9.14,96,59,48.0,"['Carry', 'Nuker', 'Disabler']"
43,309,276,3.63,3.24,97,103,52.0,"['Carry', 'Pusher', 'Nuker', 'Disabler']"
47,304,1139,3.57,13.38,98,43,53.0,"['Carry', 'Durable', 'Initiator', 'Disabler']"
36,298,133,3.5,1.56,99,119,51.0,"['Carry', 'Nuker', 'Durable', 'Disabler']"
91,288,606,3.38,7.12,100,72,46.0,"['Support', 'Escape', 'Nuker']"
80,286,1542,3.36,18.11,101,27,55.0,"['Carry', 'Pusher', 'Durable']"
55,284,1154,3.34,13.56,102,41,52.0,"['Initiator', 'Escape', 'Disabler']"
93,283,510,3.32,5.99,103,78,54.0,"['Carry', 'Escape', 'Disabler', 'Nuker']"
50,282,1670,3.31,19.62,104,22,44.0,"['Support', 'Nuker', 'Disabler']"
105,280,535,3.29,6.28,105,77,45.0,"['Nuker', 'Disabler']"
77,261,726,3.07,8.53,106,61,48.0,"['Carry', 'Pusher', 'Durable', 'Escape']"
30,249,139,2.92,1.63,107,117,46.0,"['Support', 'Nuker', 'Disabler']"
111,244,194,2.87,2.28,108,112,46.0,"['Support', 'Nuker', 'Disabler', 'Escape']"
103,239,152,2.81,1.79,109,115,52.0,"['Initiator', 'Disabler', 'Nuker', 'Durable']"
1,220,475,2.58,5.58,110,83,44.0,"['Carry', 'Escape', 'Nuker']"
56,220,349,2.58,4.1,110,94,55.0,"['Carry', 'Escape', 'Pusher']"
75,218,136,2.56,1.6,112,118,48.0,"['Carry', 'Support', 'Disabler', 'Initiator', 'Nuker']"
3,204,477,2.4,5.6,113,82,55.0,"['Support', 'Disabler', 'Nuker', 'Durable']"
66,200,1068,2.35,12.55,114,44,64.0,"['Support', 'Pusher']"
68,197,96,2.31,1.13,115,122,51.0,"['Support', 'Disabler', 'Nuker']"
4,176,467,2.07,5.49,116,85,56.0,"['Carry', 'Disabler', 'Nuker', 'Initiator']"
41,176,273,2.07,3.21,116,104,41.0,"['Carry', 'Initiator', 'Disabler', 'Escape', 'Durable']"
67,175,219,2.06,2.57,118,108,49.0,"['Carry', 'Durable', 'Escape']"
78,161,955,1.89,11.22,119,50,44.0,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
29,161,74,1.89,0.87,119,124,56.0,"['Initiator', 'Durable', 'Disabler', 'Nuker', 'Carry']"
32,136,500,1.6,5.87,121,81,48.0,"['Carry', 'Escape', 'Disabler']"
82,114,237,1.34,2.78,122,107,46.0,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator', 'Pusher']"
113,78,208,0.92,2.44,123,109,42.0,"['Carry', 'Escape', 'Nuker']"
12,45,293,0.53,3.44,124,100,49.0,"['Carry', 'Escape', 'Pusher', 'Nuker']"
